age,experience_years,tech_count,primary_tech,education_level,expected_package_lpa
30,12,4,Java,Bachelors,45.3
32,14,9,Java,Masters,54.35
26,8,5,Java,Bachelors,26.65
26,8,10,Java,Masters,31.49
26,8,2,Java,Masters,25.14
27,9,10,Python,Masters,34.0
20,2,9,Python,Bachelors,12.25
22,4,2,JavaScript,Bachelors,11.51
22,4,2,Java,Masters,13.64
31,13,3,Python,Masters,47.94
20,2,3,Python,Bachelors,7.41
20,2,2,Python,Bachelors,6.85
23,5,7,Java,Masters,18.28
30,12,8,Python,Masters,49.61
22,4,8,Java,Bachelors,16.33
32,14,9,JavaScript,Bachelors,52.49
19,1,8,Java,Bachelors,10.31
23,5,10,Python,Masters,21.43
21,3,10,Java,Masters,18.36
28,10,9,Java,Masters,34.01
24,6,10,JavaScript,Masters,28.37
26,8,10,Python,Masters,31.8
27,9,5,JavaScript,Masters,28.88
25,7,1,JavaScript,Bachelors,21.47
31,13,4,JavaScript,Bachelors,47.08
24,6,5,JavaScript,Masters,25.1
32,14,9,Java,Masters,53.96
22,4,4,JavaScript,Masters,14.57
23,5,9,JavaScript,Masters,20.06
21,3,4,Python,Masters,13.41
30,12,9,JavaScript,Masters,50.93
19,1,8,JavaScript,Bachelors,10.83
25,7,9,JavaScript,Bachelors,27.73
30,12,8,JavaScript,Masters,49.78
31,13,8,JavaScript,Masters,51.89
25,7,7,Java,Masters,28.01
24,6,6,Java,Masters,25.62
26,8,3,Python,Bachelors,24.52
24,6,1,JavaScript,Bachelors,19.54
20,2,5,JavaScript,Bachelors,9.09
32,14,7,JavaScript,Bachelors,50.98
26,8,4,Python,Bachelors,26.17
23,5,4,JavaScript,Bachelors,14.47
32,14,4,Python,Bachelors,48.58
30,12,2,Java,Masters,45.1
30,12,8,Python,Masters,49.59
29,11,10,Python,Masters,49.93
21,3,6,JavaScript,Bachelors,13.56
32,14,5,JavaScript,Bachelors,49.12
29,11,9,Java,Bachelors,46.84
26,8,2,Python,Masters,25.18
21,3,1,Python,Masters,10.97
23,5,1,Python,Masters,14.04
27,9,4,JavaScript,Masters,28.29
22,4,10,JavaScript,Bachelors,18.12
32,14,1,Java,Masters,48.24
29,11,7,Python,Masters,47.65
22,4,8,Python,Bachelors,16.41
21,3,6,Java,Bachelors,13.64
22,4,10,Python,Masters,19.54
27,9,2,Python,Masters,27.28
18,0,10,JavaScript,Masters,12.26
20,2,7,Python,Masters,12.28
27,9,4,Java,Masters,28.87
30,12,2,JavaScript,Masters,44.78
20,2,8,Python,Masters,13.7
31,13,9,Python,Bachelors,51.14
27,9,4,JavaScript,Masters,28.02
21,3,1,JavaScript,Bachelors,10.09
25,7,10,JavaScript,Bachelors,28.36
24,6,7,Java,Masters,26.31
29,11,9,JavaScript,Bachelors,47.21
24,6,8,JavaScript,Masters,26.85
20,2,4,Java,Masters,10.46
20,2,3,Python,Masters,9.62
30,12,7,JavaScript,Bachelors,47.37
25,7,1,Java,Bachelors,21.76
32,14,4,Python,Bachelors,49.12
22,4,4,Python,Masters,15.42
31,13,4,Python,Masters,48.79
26,8,4,Python,Masters,27.34
23,5,7,Java,Masters,18.11
19,1,5,Java,Bachelors,7.85
22,4,5,Java,Masters,15.95
28,10,10,JavaScript,Bachelors,33.23
23,5,3,Python,Bachelors,13.57
27,9,8,Python,Bachelors,30.5
22,4,10,JavaScript,Bachelors,18.45
23,5,8,Java,Masters,19.39
32,14,6,Python,Bachelors,50.65
31,13,1,Python,Masters,45.71
30,12,4,Python,Bachelors,45.49
20,2,8,Java,Bachelors,12.19
19,1,8,Python,Bachelors,10.86
19,1,5,Java,Bachelors,8.01
32,14,9,JavaScript,Bachelors,52.46
30,12,8,Python,Masters,49.9
29,11,10,Java,Masters,50.04
29,11,6,Python,Masters,46.75
25,7,2,Java,Masters,24.25
18,0,8,Python,Masters,11.34
25,7,7,JavaScript,Masters,27.83
25,7,1,Python,Masters,22.97
27,9,9,Python,Masters,32.33
26,8,4,Python,Masters,27.31
27,9,3,Java,Bachelors,25.96
22,4,3,Java,Masters,13.65
32,14,8,Python,Bachelors,52.37
23,5,8,JavaScript,Masters,19.31
20,2,5,JavaScript,Bachelors,9.16
20,2,1,Python,Masters,8.07
23,5,8,Python,Bachelors,18.35
32,14,1,Java,Bachelors,46.65
32,14,7,Python,Bachelors,51.14
33,15,1,Java,Bachelors,48.4
31,13,1,JavaScript,Bachelors,44.54
28,10,10,Python,Bachelors,33.99
18,0,4,JavaScript,Masters,8.39
21,3,1,Java,Bachelors,9.83
24,6,6,Java,Bachelors,24.58
19,1,4,Python,Masters,9.14
19,1,4,Java,Bachelors,7.85
24,6,6,Python,Masters,25.52
30,12,5,Java,Bachelors,45.65
26,8,7,JavaScript,Masters,28.96
22,4,3,Java,Masters,13.76
21,3,3,Python,Masters,13.12
31,13,8,JavaScript,Masters,51.86
19,1,8,JavaScript,Masters,12.09
25,7,2,Java,Masters,24.37
32,14,5,JavaScript,Masters,50.54
24,6,10,Python,Bachelors,27.07
18,0,10,JavaScript,Masters,13.13
20,2,1,Python,Bachelors,6.21
24,6,3,JavaScript,Masters,22.63
31,13,3,Java,Masters,47.38
26,8,8,Java,Masters,29.91
26,8,4,Python,Bachelors,25.61
27,9,2,Java,Masters,26.88
25,7,9,Python,Masters,29.7
33,15,6,Java,Masters,53.77
32,14,7,Python,Bachelors,51.4
23,5,9,JavaScript,Masters,20.28
21,3,1,Python,Masters,11.36
28,10,7,JavaScript,Bachelors,30.7
29,11,9,JavaScript,Masters,48.95
24,6,5,JavaScript,Masters,24.42
31,13,9,Java,Masters,52.2
32,14,7,JavaScript,Masters,52.79
28,10,4,Java,Bachelors,28.87
29,11,2,Java,Bachelors,41.25
24,6,6,JavaScript,Masters,25.04
19,1,1,Python,Masters,6.68
28,10,9,Java,Masters,33.75
32,14,5,Java,Bachelors,49.81
21,3,8,Python,Bachelors,15.56
28,10,10,Java,Masters,35.07
20,2,5,Python,Bachelors,9.39
23,5,5,Python,Masters,17.08
33,15,1,JavaScript,Masters,49.6
